Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
rooftop-round,,,,,,,,,12V,,Black,,,02-0200-ZW,,shopify,25,continue,manual,139,159,TRUE,TRUE,,,,,,,,kg,
rooftop-round,,,,,,,,,24V,,White,,,02-0300,,shopify,25,continue,manual,139,159,TRUE,TRUE,,,,,,,,kg,
rooftop-round,,,,,,,,,24V,,Black,,,02-0300-ZW,,shopify,25,continue,manual,139,159,TRUE,TRUE,,,,,,,,kg,
rooftop-round,,,,,,,,,Motorless,,White,,,02-0900,,shopify,25,continue,manual,85,99,TRUE,TRUE,,,,,,,,kg,
winglet,Winglet Mini Roof Fan,"<p>The Winglet is our answer for spaces where a full-size roof fan is overkill: a VW Caddy, the kitchen of a motorhome, a caravan washroom or an equipment locker. It pulls 65 m³/h of stale air out at only 3 W, so it can run all night on a leisure battery.</p><p>Installation is a single 80 mm hole. The unit comes complete with interior grille, an open/close valve and a saw template, and the low-profile cover (230 x 196 mm, 52 mm high) sits well below most roof racks.</p><p>Available in white or black, electric (12V) or motorless.</p><h3>Key features</h3><ul><li>65 m³/h extraction at only 3 W</li><li>Roof cut-out only 80 mm</li><li>Whisper quiet: 32 dB(A)</li><li>Complete with open/close frame, interior grille and template</li><li>Footprint 230 x 196 mm, 52 mm high, approx. 0.5 kg</li><li>Mounting set for roof thickness 1 to 17 mm</li><li>White or black ABS, EMC approved</li></ul><h3>Specifications</h3><table><tr><th>Airflow</th><td>65 m³/h</td></tr><tr><th>Voltage</th><td>12V DC</td></tr><tr><th>Power</th><td>3 W</td></tr><tr><th>Noise level</th><td>32 dB(A)</td></tr><tr><th>Function</th><td>Suction (extraction)</td></tr><tr><th>Roof opening</th><td>Ø 80 mm</td></tr><tr><th>Footprint</th><td>230 x 196 mm, 52 mm high</td></tr><tr><th>Roof thickness</th><td>1 to 17 mm (standard mounting set)</td></tr><tr><th>Material</th><td>ABS</td></tr><tr><th>Colours</th><td>White or Black</td></tr><tr><th>Approval</th><td>EMC approved</td></tr></table>",Pegasus Depot,,Rooftop Ventilators,"Rooftop Ventilators,Campers & Motorhomes,Commercial Vans & Service Vehicles,Dog & K9 Transport,Boats & Marine,Compact,EMC approved,12V",TRUE,Voltage,12V,Colour,White,,,02-5000,,shopify,25,continue,manual,159,179,TRUE,TRUE,,https://pegasusdepot.com/assets/img/bovenaanzicht-scaled-1400.webp,1,Winglet Mini Roof Fan,,Winglet Mini Roof Fan · 3 watts. 80 mm hole. Silent extraction.,"A tiny electric extractor for small vans, camper kitchens, caravans, dog boxes and toilet compartments. 65 m³/h through an 80 mm cut-out at just 3 W, complete with interior grille, open/close frame and saw template.",kg,active
winglet,,,,,,,,,12V,,Black,,,02-5100,,shopify,25,continue,manual,159,179,TRUE,TRUE,,https://pegasusdepot.com/assets/img/uitgeklapt-scaled-1400.webp,2,Winglet Mini Roof Fan,,,,kg,
winglet,,,,,,,,,Motorless,,White,,,02-5500,,shopify,25,continue,manual,89,99,TRUE,TRUE,,https://pegasusdepot.com/assets/img/vooraanzicht-scaled-1400.webp,3,Winglet Mini Roof Fan,,,,kg,
winglet,,,,,,,,,Motorless,,Black,,,02-5600,,shopify,25,continue,manual,89,99,TRUE,TRUE,,https://pegasusdepot.com/assets/img/ingeklapt-scaled-1400.webp,4,Winglet Mini Roof Fan,,,,kg,
turbo-ii,Turbo II Wind-Driven Rooftop Ventilator,"<p>The Turbo II is the classic mushroom-style rotating vent, refined. Airflow over the roof spins the UV-stabilised ABS cowl on two ball bearings and a venturi effect pulls air out of the vehicle: roughly 245 m³/h at 100 km/h. No wiring, no power draw, no noise. It simply works whenever the vehicle moves or the wind blows.</p><p>At 68 mm high it fits under most roof racks. The 128 mm bore hole and 26 mm installation depth make it an easy retrofit, and the kit includes an interior grille and closable shutter so you can shut it off in winter.</p><p>Perfect for transporting dogs, horses and cargo that must not sit in stale air. Combine it with a floor ventilator for a continuous flow even when parked.</p><h3>Key features</h3><ul><li>Wind-driven, no electricity required</li><li>Approx. 245 m³/h at 100 km/h</li><li>Ø 319 mm rotating cowl, 2 ball bearings, UV-stabilised ABS</li><li>Roof cut-out 128 mm, depth 26 mm, height 68 mm</li><li>Fits under most roof racks</li><li>Interior grille and closable shutter included</li><li>Mounting set for roof thickness 1 to 21 mm</li><li>White or black, 1.2 kg</li></ul><h3>Specifications</h3><table><tr><th>Function</th><td>Suction (wind-driven)</td></tr><tr><th>Airflow</th><td>approx. 245 m³/h at 100 km/h</td></tr><tr><th>Diameter</th><td>Ø 319 mm</td></tr><tr><th>Roof cut-out</th><td>Ø 128 mm</td></tr><tr><th>Height</th><td>68 mm</td></tr><tr><th>Installation depth</th><td>26 mm</td></tr><tr><th>Bearings</th><td>2 ball bearings</td></tr><tr><th>Roof thickness</th><td>1 to 21 mm (other sets on request)</td></tr><tr><th>Weight</th><td>1.2 kg</td></tr><tr><th>Material</th><td>UV-stabilised ABS</td></tr><tr><th>Included</th><td>Interior grille and shutter</td></tr></table>",Pegasus Depot,,Rooftop Ventilators,"Rooftop Ventilators,Dog & K9 Transport,Horse Trailers & Horseboxes,Commercial Vans & Service Vehicles,Animal & Livestock Transport,No power needed,Grill & shutter included",TRUE,Colour,White,,,,,02-7000,,shopify,25,continue,manual,119,139,TRUE,TRUE,,https://pegasusdepot.com/assets/img/02-7100-foto2-scaled-1400.webp,1,Turbo II Wind-Driven Rooftop Ventilator,,Turbo II Wind-Driven Rooftop Ventilator · Zero watts. Ventilates every time you drive.,"A rotating, wind-powered extractor that keeps pulling stale air out of your van, dog transporter or horse trailer without a single wire. Around 245 m³/h at motorway speed. Ø 319 mm cowl, 128 mm cut-out, only 68 mm high so it fits under most roof racks.",kg,active
turbo-ii,,,,,,,,,Black,,,,,02-7100,,shopify,25,continue,manual,119,139,TRUE,TRUE,,https://pegasusdepot.com/assets/img/02-7100-foto1-scaled-1400.webp,2,Turbo II Wind-Driven Rooftop Ventilator,,,,kg,
turbo-iii,Turbo III Compact Wind-Driven Ventilator,"<p>The Turbo III is a smaller wind-driven ventilator for spaces where every millimetre counts. It needs just an 80 mm hole, stands 59.5 mm tall and slides under almost any roof rack.</p><p>Like its bigger brother it spins on two ball bearings and extracts air by venturi effect (roughly 120 m³/h at 100 km/h), but it assembles in minutes and requires no glue. The inside is finished with a stylish grille and an open/close valve.</p><p>Ideal for venting boats, dog transporters, small service vans, caravans and coaches. Made in Holland.</p><h3>Key features</h3><ul><li>Wind-driven, zero power consumption</li><li>Approx. 120 m³/h at 100 km/h</li><li>Ø 210 mm cowl, only 59.5 mm high</li><li>Roof cut-out 80 mm, depth 14.5 mm</li><li>Complete with interior grille and open/close valve</li><li>No glue required</li><li>Mounting set for roof thickness 1 to 17 mm</li><li>ABS, white or black, 0.55 kg</li></ul><h3>Specifications</h3><table><tr><th>Function</th><td>Suction (wind-driven)</td></tr><tr><th>Airflow</th><td>approx. 120 m³/h at 100 km/h</td></tr><tr><th>Diameter</th><td>Ø 210 mm</td></tr><tr><th>Roof cut-out</th><td>Ø 80 mm</td></tr><tr><th>Height</th><td>59.5 mm</td></tr><tr><th>Installation depth</th><td>14.5 mm</td></tr><tr><th>Bearings</th><td>2 ball bearings</td></tr><tr><th>Roof thickness</th><td>1 to 17 mm</td></tr><tr><th>Weight</th><td>0.55 kg</td></tr><tr><th>Material</th><td>ABS</td></tr><tr><th>Included</th><td>Interior grille and open/close valve</td></tr></table>",Pegasus Depot,,Rooftop Ventilators,"Rooftop Ventilators,Boats & Marine,Dog & K9 Transport,Commercial Vans & Service Vehicles,Buses & Coaches,Campers & Motorhomes,No power needed,Open/close valve included",TRUE,Colour,White,,,,,02-6000,,shopify,25,continue,manual,115,135,TRUE,TRUE,,https://pegasusdepot.com/assets/img/turbo-iii-1-1-scaled-1400.webp,1,Turbo III Compact Wind-Driven Ventilator,,"Turbo III Compact Wind-Driven Ventilator · The little brother: 80 mm hole, no glue","The compact version of the Turbo II. Ø 210 mm cowl, 80 mm cut-out, 59.5 mm high, around 120 m³/h at motorway speed, complete with open/close valve. Snaps together without glue. For boats, dog boxes, small vans and coach compartments.",kg,active
turbo-iii,,,,,,,,,Black,,,,,02-6100,,shopify,25,continue,manual,115,135,TRUE,TRUE,,https://pegasusdepot.com/assets/img/turbo-iii-2-scaled-1400.webp,2,Turbo III Compact Wind-Driven Ventilator,,,,kg,
turbo-iii,,,,,,,,,,,,,,,,,,,,,,,,,https://pegasusdepot.com/assets/img/turbo-iii-3-scaled-1400.webp,3,Turbo III Compact Wind-Driven Ventilator,,,,,
exhaust-ventilator,Exhaust Ventilator (Venturi),"<p>The mechanical exhaust ventilator is the simplest way to keep a commercial vehicle fresh: wind passing over the cover pulls air from the cargo area below. No power, no maintenance, no noise, and it keeps working with a light breeze even when parked.</p><p>Thanks to its 50 mm height it works under roof racks, and because it needs no wiring the installation is quick: cut a hole of up to 140 mm, bond with body sealant (never silicone) and fit the interior grille. Combine it with our floor ventilator for a steady supply of fresh air, or pair it with an electric roof fan for forced ventilation when parked.</p><p>Available in white or black. Finish the inside with the 35-3003 rotary valve or the Ø 140 mm ABS grille.</p><h3>Key features</h3><ul><li>Venturi effect extraction, no power needed</li><li>No mechanical moving parts, practically silent</li><li>Low aerodynamic profile: 285 x 185 mm, 50 mm high</li><li>ABS, white or black, only 0.5 kg</li><li>Roof opening up to 140 mm</li><li>Interior finish: rotary valve 35-3003 or grille 35-26xx</li></ul><h3>Specifications</h3><table><tr><th>Function</th><td>Suction (venturi)</td></tr><tr><th>Roof opening</th><td>max. Ø 140 mm</td></tr><tr><th>Dimensions</th><td>285 x 185 mm, 50 mm high</td></tr><tr><th>Weight</th><td>0.5 kg</td></tr><tr><th>Material</th><td>ABS</td></tr><tr><th>Colours</th><td>White or Black</td></tr><tr><th>Power</th><td>None</td></tr></table>",Pegasus Depot,,Rooftop Ventilators,"Rooftop Ventilators,Commercial Vans & Service Vehicles,Dog & K9 Transport,Animal & Livestock Transport,No power needed,Roof-rack friendly",TRUE,Colour,White,,,,,02-1030,,shopify,25,continue,manual,54.95,64.95,TRUE,TRUE,,https://pegasusdepot.com/assets/img/02-1030-foto-scaled-1400.webp,1,Exhaust Ventilator (Venturi),,"Exhaust Ventilator (Venturi) · Aerodynamic, silent, no moving parts","A low, aerodynamic ABS vent (285 x 185 mm, 50 mm high) that uses the venturi effect to pull air out of your van while driving. No motor, no moving parts, practically inaudible. Often combined with a powered roof fan or used stand-alone.",kg,active
exhaust-ventilator,,,,,,,,,Black,,,,,02-1030-ZW,,shopify,25,continue,manual,54.95,64.95,TRUE,TRUE,,https://pegasusdepot.com/assets/img/exhaust-ventilator-scaled-1400.webp,2,Exhaust Ventilator (Venturi),,,,kg,
v12-valve,V12 Interior Ventilation Valve,"<p>The V12 is the interior valve most customers pair with the Le Mans. It covers the 230 mm roof opening with a clean Ø 290 mm louvre (only 20 mm high) that you can open and close by hand, or electrically from your dashboard with the 12/24V version. It also acts as a finger guard for the fan blades.</p><p>Made from high-quality ABS, it is a statement piece rather than just a functional cover. Three colour combinations let it blend into any interior: white, grey or dark grey. Designed for vehicles with a headliner or ceiling.</p><p>Tip: order the electric version together with a Le Mans, a 3-way switch for the fan and a separate on/off switch for the valve, and you have a fully remote-controlled ventilation system.</p><h3>Key features</h3><ul><li>Ø 290 mm, covers the 230 mm roof opening</li><li>Open and close the airflow, adjustable louvres</li><li>Only 20 mm high, 0.5 kg</li><li>Electric version is operated with a separate on/off switch (not included)</li><li>Manual or electric 12V/24V</li><li>High-quality ABS, three colour schemes</li><li>Fits Le Mans, Le Mans LL and Round rooftop ventilators</li></ul><h3>Specifications</h3><table><tr><th>Overall diameter</th><td>Ø 290 mm</td></tr><tr><th>Height</th><td>20 mm</td></tr><tr><th>Operation</th><td>Manual or electric 12V/24V</td></tr><tr><th>Material</th><td>ABS</td></tr><tr><th>Weight</th><td>0.5 kg (manual) · 0.6 kg (electric)</td></tr><tr><th>Colours</th><td>White, Grey, Dark grey</td></tr><tr><th>Compatible with</th><td>02-2200/2300 Le Mans, 02-4200/4300 Le Mans LL, 02-0200/0300 Round</td></tr></table>",Pegasus Depot,,Interior Valves & Grilles,"Interior Valves & Grilles,Horse Trailers & Horseboxes,Buses & Coaches,Ambulances & Emergency Vehicles,Commercial Vans & Service Vehicles,Campers & Motorhomes,Animal & Livestock Transport,Bestseller,Manual or electric",TRUE,Operation,Manual,Colour,White,,,35-2400,,shopify,25,continue,manual,54.95,69.95,TRUE,TRUE,,https://pegasusdepot.com/assets/img/35-2400-foto-scaled-1400.webp,1,V12 Interior Ventilation Valve,,V12 Interior Ventilation Valve · The closable ceiling valve for the Le Mans,"Ø 290 mm ABS ceiling valve that finishes the inside of your Le Mans or Round rooftop ventilator. Adjustable louvres prevent draughts; open it for full airflow, close it in winter. Manual or electric (12/24V), in white, grey or dark grey.",kg,active
v12-valve,,,,,,,,,Manual,,Grey,,,35-2410,,shopify,25,continue,manual,54.95,69.95,TRUE,TRUE,,https://pegasusdepot.com/assets/img/35-2440-foto-1400.webp,2,V12 Interior Ventilation Valve,,,,kg,
v12-valve,,,,,,,,,Manual,,Dark grey,,,35-2440,,shopify,25,continue,manual,54.95,69.95,TRUE,TRUE,,https://pegasusdepot.com/assets/img/pmh10-1400.webp,3,V12 Interior Ventilation Valve,,,,kg,
v12-valve,,,,,,,,,Electric 12/24V,,White,,,35-2500,,shopify,25,continue,manual,139,159,TRUE,TRUE,,,,,,,,kg,
v12-valve,,,,,,,,,Electric 12/24V,,Grey,,,35-2510,,shopify,25,continue,manual,139,159,TRUE,TRUE,,,,,,,,kg,
v12-valve,,,,,,,,,Electric 12/24V,,Dark grey,,,35-2540,,shopify,25,continue,manual,139,159,TRUE,TRUE,,,,,,,,kg,
flower-power,Flower Power Interior Valve,"<p>Flower Power is our design interior valve: a Ø 280 mm closable grille with a distinctive radial pattern that looks as good in a luxury horsebox as in a camper. It keeps the full airflow of your roof ventilator while letting you shut it off completely.</p><p>Choose the plain version in white, light grey or light grey with dark grey accent, or the LED version with 21 white and 9 blue LEDs for courtesy and night lighting, in 12V or 24V.</p><p>Designed for vehicles with a canopy or ceiling. No ceiling? Choose a standard grille instead.</p><h3>Key features</h3><ul><li>Closable Ø 280 mm interior valve</li><li>Maintains maximum airflow when open</li><li>Optional LED: 21 white + 9 blue LEDs, 12V or 24V</li><li>High-quality ABS, modern design</li><li>White, light grey or two-tone grey</li></ul><h3>Specifications</h3><table><tr><th>Overall diameter</th><td>Ø 280 mm</td></tr><tr><th>Operation</th><td>Manual open/close</td></tr><tr><th>LED version</th><td>21 white / 9 blue LEDs, 12V or 24V</td></tr><tr><th>Material</th><td>ABS</td></tr><tr><th>Colours</th><td>White, Light grey, Light grey / Dark grey</td></tr><tr><th>Compatible with</th><td>Le Mans, Le Mans LL, Round rooftop ventilators</td></tr></table>",Pegasus Depot,,Interior Valves & Grilles,"Interior Valves & Grilles,Horse Trailers & Horseboxes,Campers & Motorhomes,Buses & Coaches,Boats & Marine,Design valve,LED option",TRUE,Light,No LED,Colour,White,,,35-2800,,shopify,25,continue,manual,54.95,69.95,TRUE,TRUE,,https://pegasusdepot.com/assets/img/35-2820-foto-1-scaled-1400.webp,1,Flower Power Interior Valve,,"Flower Power Interior Valve · Closable Ø 280 mm valve, optionally with LED light","A luxurious closable ceiling grille (Ø 280 mm) for vehicles with a ceiling. Maintains maximum airflow, opens and closes by hand, and is available with 21 white + 9 blue LEDs in 12V or 24V.",kg,active
flower-power,,,,,,,,,No LED,,Light grey,,,35-2810,,shopify,25,continue,manual,54.95,69.95,TRUE,TRUE,,https://pegasusdepot.com/assets/img/35-2910-foto-scaled-1400.webp,2,Flower Power Interior Valve,,,,kg,
flower-power,,,,,,,,,No LED,,Light grey / Dark grey,,,35-2820,,shopify,25,continue,manual,54.95,69.95,TRUE,TRUE,,,,,,,,kg,
flower-power,,,,,,,,,LED 12V,,White,,,35-2900,,shopify,25,continue,manual,109,129,TRUE,TRUE,,,,,,,,kg,
flower-power,,,,,,,,,LED 24V,,White,,,35-2905,,shopify,25,continue,manual,109,129,TRUE,TRUE,,,,,,,,kg,
flower-power,,,,,,,,,LED 12V,,Light grey,,,35-2910,,shopify,25,continue,manual,109,129,TRUE,TRUE,,,,,,,,kg,
flower-power,,,,,,,,,LED 24V,,Light grey,,,35-2915,,shopify,25,continue,manual,109,129,TRUE,TRUE,,,,,,,,kg,
flower-power,,,,,,,,,LED 12V,,Light grey / Dark grey,,,35-2920,,shopify,25,continue,manual,109,129,TRUE,TRUE,,,,,,,,kg,
flower-power,,,,,,,,,LED 24V,,Light grey / Dark grey,,,35-2925,,shopify,25,continue,manual,109,129,TRUE,TRUE,,,,,,,,kg,
rotating-valve-300,Rotating Interior Valve Ø 300 mm,"<p>Our rotating valve is the timeless interior finish for roof ventilators: twist to open, twist to close. At Ø 300 mm it fully covers the 230 mm roof opening of our Le Mans and Round ventilators.</p><p>Pick sleek black, timeless white or contemporary grey to match your interior, or choose the white version with integrated 12V/24V light for courtesy lighting.</p><p>Optional: a micro-switch that automatically switches the ventilator off when the valve is closed.</p><h3>Key features</h3><ul><li>Ø 300 mm rotating open/close valve</li><li>Black, white or grey ABS</li><li>Version with integrated 12/24V light (30 mm high)</li><li>Optional micro-switch (cuts fan power when closed)</li><li>Only 0.4 kg (0.7 kg with light)</li></ul><h3>Specifications</h3><table><tr><th>Overall diameter</th><td>Ø 300 mm</td></tr><tr><th>Operation</th><td>Rotating open/close</td></tr><tr><th>Material</th><td>ABS</td></tr><tr><th>Weight</th><td>0.4 kg · 0.7 kg with light</td></tr><tr><th>Colours</th><td>Grey, White, Black</td></tr><tr><th>Light version</th><td>35-2200, white, 12V/24V</td></tr></table>",Pegasus Depot,,Interior Valves & Grilles,"Interior Valves & Grilles,Commercial Vans & Service Vehicles,Campers & Motorhomes,Horse Trailers & Horseboxes,Buses & Coaches,Light option",TRUE,Colour,Grey,Light,No,,,35-2100,,shopify,25,continue,manual,44.95,54.95,TRUE,TRUE,,https://pegasusdepot.com/assets/img/35-2120-foto-scaled-1400.webp,1,Rotating Interior Valve Ø 300 mm,,"Rotating Interior Valve Ø 300 mm · Classic rotating valve in black, white or grey","A Ø 300 mm rotating ceiling valve that opens and closes with a twist. Available in black, white or grey, and with an integrated 12/24V light. Optional micro-switch stops the ventilator when the valve is closed.",kg,active
